Why Stop Now?	2012	Phil Dorling	"\N"	"\N"
Paranormal Activity: The Ghost Dimension	2015	Gavin Heffernan	1980	"\N"
Prisoner X	2016	Robert Reed	"\N"	"\N"
Three Christs	2017	Jon Avnet	1949	"\N"
Kill Ben Lyk	2018	Jean-Christophe Establet	"\N"	"\N"
The Domain	2019	Rui Cardoso Martins	"\N"	"\N"
Africa: The Serengeti	1994	George Casey	1933	2017
Letters to Juliet	2010	Tim Sullivan	1958	"\N"
Los Hijos de San Luis	2020	José González	"\N"	"\N"
The Lone Ranger	2013	Ted Elliott	1961	"\N"
Sarah Cooper: Everything's Fine	2020	Cole Escola	1986	"\N"
Civil War (or, Who Do We Think We Are)	2021	Rachel Boynton	"\N"	"\N"
Deadly Code	2013	Stefano Rulli	1949	"\N"
Paranormal Activity: The Ghost Dimension	2015	Andrew Deutschman	"\N"	"\N"
Nina Forever	2015	Chris Blaine	"\N"	"\N"
The Devil Outside	2018	Andrew Hulme	"\N"	"\N"
