Fractured	2019	Shane Dean	NULL	NULL	[Officer Griggs]
Demon Hole	2017	James S. Euto	NULL	NULL	[Tony]
Zindagi Kitni Haseen Hay	2016	Alan Hakim	NULL	NULL	NULL
Missing You	2016	Kim Sung-oh	1978	NULL	[Kim Kee-beom]
Brampton's Own	2018	Carter Hastings	NULL	NULL	[Cody]
The Small One	1978	Sean Marshall	1965	NULL	[Boy]
Joan the Maid 2: The Prisons	1994	Didier Sauvegrain	1950	NULL	[Raoul de Gaucourt]
Shrunken Heads	1994	Troy Fromin	1966	NULL	[Podowski]
Black	2005	Amitabh Bachchan	1942	NULL	[Debraj Sahai]
Moneyboys	2021	Mu Chen	NULL	NULL	[Guo Yong]
Finding Jesus	2020	Aiden McCreary	NULL	NULL	[Pete]
The Butler	2013	Michael Rainey Jr.	2000	NULL	[Cecil Gaines (8)]
Papusza	2013	Antoni Pawlicki	1983	NULL	[Jerzy Ficowski]
Better Start Running	2018	Chad Faust	1980	NULL	[Dale Hankey]
Rites of Passage	2013	Tiran Dingle	NULL	NULL	[Thief]
Cherry Tree	2015	Sam Hazeldine	1972	NULL	[Sean Maguire]
Vixen Velvet's Zombie Massacre	2015	Fred Osson	NULL	NULL	NULL
She Has a Name	2016	Giovanni Mocibob	NULL	NULL	[Jason]
Mr. Weekend	2020	John Paul Romeo	NULL	NULL	[Yeyo Rick]
Sye Raa Narasimha Reddy	2019	Amitabh Bachchan	1942	NULL	[Gosayi Venkanna]
Christmas at the Royal Hotel	2018	Harry Oram	NULL	NULL	[Tom]
Wrestle	2018	Jaquan Rhodes	NULL	NULL	NULL
Amish Abduction	2019	Bill Marchant	1964	NULL	[Wilson]
Comrades of 1918	1930	Gustav Diessl	1899	1948	[Karl]
The Sadist	1963	Arch Hall Sr.	1908	1978	[Opening Narrator - TV Version]
The Sadist	1963	Arch Hall Sr.	1908	1978	[Opening Narrator - TV Version]
Meantime	1983	Jeffrey Robert	NULL	NULL	[Frank]
Eating Raoul	1982	John Shearin	1944	2017	[Mr. Baker - the Horny Patient]
R.O.T.O.R.	1987	Shawn Brown	NULL	NULL	[Mokie Killion]
The Big Lebowski	1998	John Goodman	1952	NULL	[Walter Sobchak]
Heights	2005	James Marsden	1973	NULL	[Jonathan]
The Texas Chainsaw Massacre: The Beginning	2006	Andrew Bryniarski	1969	NULL	[Thomas Hewitt]
The Texas Chainsaw Massacre: The Beginning	2006	Andrew Bryniarski	1969	NULL	[Leatherface]
Sex and Death 101	2007	Patton Oswalt	1969	NULL	[Fred]
Young Adult	2011	Patton Oswalt	1969	NULL	[Matt Freehauf]
The Congress	2013	Ed Corbin	1963	NULL	[Charlie]
Black Butterfly	2017	Antonio Banderas	1960	NULL	[Paul]
The Damned Thing	2014	Lance De Los Santos	NULL	NULL	[Detective]
The Beauty Inside	2015	Lee Jin-Wook	NULL	NULL	[Woo-jin]
Scarecrows	2017	Umed Amin	NULL	NULL	[Ely]
Missing You	2016	Kim Won-Hae	1969	NULL	[Section Chief Ban]
The Game Changer	2017	Xueqi Wang	1946	NULL	[Mr. To]
Overcomer	2019	Chuck Hasty	NULL	NULL	[Knight's Coach]
